iter	Passed	Remaining
1003	4536	18055
1004	4540	18049
1005	4545	18046
1006	4549	18038
1007	4553	18033
1008	4557	18028
1009	4561	18022
1010	4566	18015
1011	4570	18009
1012	4574	18002
1013	4578	17996
1014	4582	17991
1015	4586	17986
1016	4591	17983
1017	4596	17977
1018	4599	17970
1019	4603	17964
1020	4608	17960
1021	4612	17954
1022	4616	17946
1023	4620	17942
1024	4624	17935
1025	4629	17930
1026	4633	17923
1027	4637	17919
1028	4642	17914
1029	4646	17908
1030	4653	17914
1031	4658	17911
1032	4662	17905
1033	4668	17906
1034	4672	17899
1035	4677	17896
1036	4683	17896
1037	4688	17895
1038	4693	17892
1039	4699	17893
1040	4704	17891
1041	4708	17886
1042	4713	17881
1043	4718	17879
1044	4723	17875
1045	4727	17871
1046	4731	17864
1047	4735	17858
1048	4739	17851
1049	4744	17847
1050	4747	17838
1051	4752	17834
1052	4755	17825
1053	4759	17820
1054	4764	17814
1055	4768	17808
1056	4772	17804
1057	4776	17797
1058	4781	17793
1059	4785	17787
1060	4789	17782
1061	4793	17776
1062	4798	17770
1063	4802	17764
1064	4806	17759
1065	4810	17753
1066	4814	17746
1067	4818	17739
1068	4822	17732
1069	4825	17724
1070	4829	17718
1071	4834	17712
1072	4837	17706
1073	4842	17700
1074	4846	17693
1075	4851	17692
1076	4855	17685
1077	4859	17680
1078	4863	17674
1079	4867	17668
1080	4872	17665
1081	4876	17659
1082	4881	17655
1083	4885	17650
1084	4889	17643
1085	4893	17637
1086	4898	17633
1087	4902	17628
1088	4907	17623
1089	4912	17620
1090	4916	17614
1091	4920	17608
1092	4924	17603
1093	4928	17596
1094	4933	17593
1095	4937	17587
1096	4941	17582
1097	4945	17575
1098	4950	17570
1099	4953	17563
1100	4958	17559
1101	4961	17551
1102	4966	17546
1103	4971	17543
1104	4975	17538
1105	4980	17536
1106	4986	17535
1107	4990	17529
1108	4994	17523
1109	4998	17517
1110	5003	17513
1111	5007	17506
1112	5011	17502
1113	5016	17497
1114	5019	17491
1115	5024	17486
1116	5028	17481
1117	5033	17477
1118	5037	17470
1119	5042	17467
1120	5045	17460
1121	5050	17455
1122	5054	17450
1123	5058	17444
1124	5063	17440
1125	5067	17433
1126	5071	17429
1127	5075	17423
1128	5080	17421
1129	5085	17417
1130	5090	17414
1131	5095	17410
1132	5101	17411
1133	5105	17404
1134	5110	17401
1135	5113	17394
1136	5119	17392
1137	5122	17385
1138	5127	17379
1139	5130	17372
1140	5134	17366
1141	5138	17358
1142	5142	17351
1143	5146	17347
1144	5150	17340
1145	5154	17334
1146	5158	17327
1147	5162	17321
1148	5166	17314
1149	5170	17311
1150	5174	17304
1151	5179	17300
1152	5183	17293
1153	5187	17288
1154	5190	17280
1155	5194	17274
1156	5198	17266
1157	5202	17260
1158	5205	17252
1159	5210	17247
1160	5213	17240
1161	5217	17234
1162	5222	17228
1163	5226	17223
1164	5230	17217
1165	5234	17212
1166	5238	17205
1167	5242	17199
1168	5246	17194
1169	5250	17188
1170	5255	17183
1171	5258	17175
1172	5262	17170
1173	5268	17169
1174	5272	17162
1175	5276	17158
1176	5280	17151
1177	5285	17148
1178	5291	17149
1179	5294	17141
1180	5299	17138
